article_name,country,revision_id,article_quality,population
Ajay Kannoujiya,India,807484325.0,,"1,371.3"
Manny Pacquiao,Philippines,807331234.0,,107
Risa Hontiveros,Philippines,807348216.0,,107
Lito Lapid,Philippines,807353749.0,,107
Loren Legarda,Philippines,807358292.0,,107
Sara Duterte,Philippines,807381933.0,,107
Haber Amin Asarul,Philippines,807387980.0,,107
Dagul,Philippines,807403634.0,,107
Paolo Duterte,Philippines,807462822.0,,107
President of the Philippines,Philippines,807475001.0,,107
Aga Muhlach,Philippines,807479087.0,,107
King Gutierrez,Philippines,807479587.0,,107
Ryszard Galla,Poland,807460527.0,,38.4
Mariusz Kamiński,Poland,807464956.0,,38.4
Ernst Toller,Germany,807387746.0,,82.8
Ernst Röhm,Germany,807403760.0,,82.8
Eduard Bernstein,Germany,807405873.0,,82.8
Angela Merkel,Germany,807436179.0,,82.8
Rosa Luxemburg,Germany,807447058.0,,82.8
Ralf Dahrendorf,Germany,807455062.0,,82.8
Joseph Goebbels,Germany,807456220.0,,82.8
Hakkı Keskin,Germany,807480590.0,,82.8
Hastings Banda,Malawi,807393229.0,,19.1
Pál Schmitt,Hungary,807330345.0,,9.8
László Toroczkai,Hungary,807457197.0,,9.8
Presidents of the General Council of French Guiana,French Guiana,546364151.0,Stub,
Georges Guéril,French Guiana,720040781.0,Stub,
Édouard Gaumont,French Guiana,720040911.0,Stub,
Raymond Tarcy,French Guiana,720461524.0,Stub,
Alain Tien-Liong,French Guiana,721865198.0,Stub,
Presidents of the Regional Council of French Guiana,French Guiana,732283076.0,Stub,
Jean-Étienne Antoinette,French Guiana,737536891.0,Stub,
René Jadfard,French Guiana,749748234.0,Start,
Paulin Brune,French Guiana,786385007.0,Stub,
Thierry Robert,French Guiana,788799439.0,Stub,
Juliana Rimane,French Guiana,788807577.0,Stub,
Jules Patient,French Guiana,788827828.0,Stub,
Gaston Monnerville,French Guiana,788828507.0,Start,
Eugénie Éboué-Tell,French Guiana,788828649.0,Stub,
Christiane Taubira,French Guiana,788828802.0,C,
Léopold Héder,French Guiana,788830652.0,Stub,
Léon Bertrand,French Guiana,788837401.0,Start,
Justin Catayée,French Guiana,789009266.0,Stub,
Gabriel Serville,French Guiana,789340739.0,Stub,
Rodolphe Alexandre,French Guiana,789939904.0,Stub,
Georges Othily,French Guiana,789940008.0,Stub,
Antoine Karam,French Guiana,791685731.0,Stub,
Georges Patient,French Guiana,791685933.0,Stub,
Élie Castor,French Guiana,793002652.0,Stub,
Chantal Berthelot,French Guiana,793613477.0,Stub,
Léon Damas,French Guiana,794908987.0,Start,
Félix Éboué,French Guiana,804473743.0,C,
"Haakon, Crown Prince of Norway",Norway,807381759.0,,5.3
Jalal Movaghar,Iran,807367030.0,,81.6
Mohsen Movaghar,Iran,807367166.0,,81.6
Habibollah Asgaroladi,Iran,807390609.0,,81.6
Hadi Gharaseyyed Romiani,Iran,807411358.0,,81.6
Hadi Saei,Iran,807412503.0,,81.6
Mohammad Reyshahri,Iran,807430032.0,,81.6
Mohammad Hashemi,Iran,807461646.0,,81.6
Mahmoud Ahmadinejad,Iran,807481450.0,,81.6
Lluís Companys,Spain,807461709.0,,46.7
Rafael Hernando Fraile,Spain,807467982.0,,46.7
Juan López de Uralde,Spain,807468371.0,,46.7
José Díaz (politician),Spain,807473824.0,,46.7
Jaime del Burgo Torres,Spain,807475042.0,,46.7
Timoteo Menéndez,Salvadoran,566504165.0,Start,
Joaquín Escolán y Balibrera,Salvadoran,679294949.0,Stub,
Fermín Palacios,Salvadoran,705353491.0,Stub,
Eugenio Aguilar,Salvadoran,705353565.0,Stub,
Tomás Medina,Salvadoran,705353584.0,Stub,
Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647.0,Stub,
Vicente Gómez,Salvadoran,705353678.0,Stub,
Lorenzo Zepeda,Salvadoran,705353843.0,Stub,
José María Peralta,Salvadoran,705353896.0,Stub,
Francisco Menéndez,Salvadoran,705353975.0,Stub,
Pedro José Escalón,Salvadoran,705354095.0,Stub,
Fernando Figueroa,Salvadoran,705354112.0,Stub,
Carlos Meléndez (politician),Salvadoran,705354212.0,Stub,
Fabio Castillo Figueroa,Salvadoran,705385310.0,Stub,
Ricardo Montenegro,Salvadoran,706769596.0,Stub,
Rafael Campo,Salvadoran,707399758.0,Start,
Miguel Santín del Castillo,Salvadoran,707400213.0,Stub,
Osmín Aguirre y Salinas,Salvadoran,707403482.0,Stub,
Eusebio Rodolfo Cordón Cea,Salvadoran,707404888.0,Stub,
Juan José Guzmán,Salvadoran,707519272.0,Stub,
Juan José Cañas,Salvadoran,708089470.0,Stub,
José Gregorio Salazar,Salvadoran,710543364.0,Start,
Diego Vigil Cocaña,Salvadoran,710555824.0,Start,
Nicolás Espinoza,Salvadoran,710578840.0,Start,
Pedro Barriere,Salvadoran,710677703.0,Start,
Joaquín de San Martín,Salvadoran,710828020.0,Start,
José Félix Quirós,Salvadoran,714256648.0,Stub,
Edgardo Carlos Suárez Mallagray,Salvadoran,717903674.0,Stub,
Aníbal Portillo,Salvadoran,720419598.0,Stub,
José Francisco Valiente,Salvadoran,720478176.0,Stub,
Diego de Holguín,Salvadoran,720623176.0,Stub,
Sigfrido Reyes Morales,Salvadoran,720633452.0,Start,
Manuel Enrique Araujo,Salvadoran,723277343.0,Start,
Joaquín Eufrasio Guzmán,Salvadoran,730854147.0,Stub,
Francisco Malespín,Salvadoran,730864227.0,Stub,
Rodrigo Ávila,Salvadoran,733791467.0,Start,
Mario Aguiñada Carranza,Salvadoran,736491718.0,Start,
David Rodríguez Rivera,Salvadoran,738362225.0,Start,
Carlos Ezeta,Salvadoran,741190933.0,Start,
Andrés Ignacio Menéndez,Salvadoran,742279612.0,Stub,
Gerardo Barrios,Salvadoran,743252984.0,Start,
Rubén Zamora,Salvadoran,748418081.0,Start,
Antonio José Cañas,Salvadoran,749973666.0,Start,
José Atilio Benítez Parada,Salvadoran,749976455.0,Stub,
Violeta Menjívar,Salvadoran,757618572.0,Start,
Santiago González (politician),Salvadoran,757977772.0,Stub,
Rosa Amelia Guzmán,Salvadoran,758287489.0,Start,
Gloria Salguero Gross,Salvadoran,758288293.0,Start,
David Joaquín Guzmán,Salvadoran,765528693.0,Start,
Francisco Gómez (El Salvador President),Salvadoran,766757526.0,Start,
Francisco Dueñas,Salvadoran,769575358.0,Stub,
Rafael Zaldívar,Salvadoran,770682721.0,Start,
Óscar Ortiz (El Salvador),Salvadoran,774857245.0,Stub,
José Damián Villacorta,Salvadoran,777601256.0,Start,
José Escolástico Marín,Salvadoran,777602660.0,Stub,
José María Cornejo,Salvadoran,777612972.0,Start,
José María Peralta Lagos,Salvadoran,777613551.0,Stub,
José María San Martín,Salvadoran,777613737.0,Start,
José María Silva,Salvadoran,777613786.0,Start,
Juan Manuel Rodríguez,Salvadoran,777685186.0,Start,
Juan Vicente Villacorta Díaz,Salvadoran,777698313.0,Start,
Juan José Daboub,Salvadoran,778564487.0,C,
José Arturo Vásquez Machado,Salvadoran,779894617.0,Stub,
Andrés del Valle,Salvadoran,779931580.0,Start,
Lilian Mercedes Letona,Salvadoran,780552804.0,Start,
Carlos Quintanilla Schmidt,Salvadoran,780701356.0,Stub,
Enrique Álvarez Córdova,Salvadoran,781102914.0,Stub,
Arturo Araujo,Salvadoran,782520448.0,Stub,
Rubén Alonso Rosales,Salvadoran,782652818.0,Start,
Mariano Prado,Salvadoran,783472679.0,Start,
Pío Romero Bosque,Salvadoran,784506431.0,Stub,
Alfonso Quiñónez Molina,Salvadoran,785229840.0,Stub,
Jorge Meléndez,Salvadoran,786063735.0,Stub,
Carmen Elena Figueroa,Salvadoran,786068145.0,Stub,
Felipe Codallos,Salvadoran,786492357.0,Stub,
Tomás Regalado (Salvadoran politician),Salvadoran,786492366.0,Stub,
Doroteo Vasconcelos,Salvadoran,788264133.0,GA,
Alfredo Cristiani,Salvadoran,788447923.0,C,
Óscar Osorio,Salvadoran,791821555.0,Start,
Lourdes Rodríguez de Flores,Salvadoran,791907279.0,Stub,
Álvaro Magaña,Salvadoran,791907345.0,Stub,
Salvador Castaneda Castro,Salvadoran,791911972.0,B,
Julio Adalberto Rivera Carballo,Salvadoran,792385744.0,Start,
Carlos Salazar Castro,Salvadoran,793184472.0,Start,
Maximiliano Hernández Martínez,Salvadoran,793642670.0,C,
Reynaldo Galindo Pohl,Salvadoran,794052085.0,Stub,
Ciro Cruz Zepeda,Salvadoran,794459622.0,Start,
Ana Ligia Mixco Sol de Saca,Salvadoran,794561394.0,Stub,
Carlos Humberto Romero,Salvadoran,794988963.0,Start,
Ana María,Salvadoran,795573859.0,Start,
Arturo Armando Molina,Salvadoran,796131598.0,Stub,
Carlos Eugenio Vides Casanova,Salvadoran,797151261.0,C,
Miguel Álvarez Castro,Salvadoran,798306895.0,Stub,
José Guillermo García,Salvadoran,798460321.0,Start,
Marisol Argueta de Barillas,Salvadoran,798896224.0,Start,
René Emilio Ponce,Salvadoran,799918049.0,Stub,
Guillermo Ungo,Salvadoran,800478736.0,Stub,
Antonio Saca,Salvadoran,802075785.0,C,
Hugo Lindo,Salvadoran,802944082.0,Start,
Schafik Handal,Salvadoran,803674894.0,Start,
Ana Vilma de Escobar,Salvadoran,803927035.0,Start,
Juan Lindo,Salvadoran,804134156.0,Start,
Mauricio Funes,Salvadoran,804528819.0,GA,
Vice President of El Salvador,Salvadoran,804538892.0,Start,
Francisco Flores Pérez,Salvadoran,804606321.0,C,
José Napoleón Duarte,Salvadoran,804809409.0,C,
Armando Calderón Sol,Salvadoran,804991452.0,Start,
Fidel Sánchez Hernández,Salvadoran,805353238.0,Start,
Rafael Antonio Gutiérrez,Salvadoran,805474907.0,Start,
Irma Dimas,Salvadoran,806010405.0,Start,
Manuel José Arce,Salvadoran,806057984.0,Start,
President of El Salvador,Salvadoran,806101149.0,B,
José Matías Delgado,Salvadoran,806731535.0,C,
Vanda Pignato,Salvadoran,806958982.0,B,
José María Lemus,Salvadoran,807175924.0,Stub,
Salvador Sánchez Cerén,Salvadoran,807210786.0,C,
Gervas Clay,Rhodesian,574571582.0,Stub,
Harry Davies (politician),Rhodesian,669387487.0,Start,
William Fairbridge,Rhodesian,682576258.0,Start,
Washington Malianga,Rhodesian,711506001.0,Stub,
Ronald Snapper,Rhodesian,712233907.0,Stub,
Gerald B. Clarke,Rhodesian,747497059.0,Stub,
Francis Chaplin,Rhodesian,763530115.0,Stub,
Roger Hawkins (politician),Rhodesian,763533706.0,Start,
George Mitchell (Rhodesia),Rhodesian,763540238.0,Stub,
John Landau,Rhodesian,763870152.0,Stub,
Byron Hove,Rhodesian,763951988.0,Start,
Hilary Squires,Rhodesian,766847256.0,Start,
Cecil Dennistoun Burney,Rhodesian,774837666.0,Stub,
Mark Partridge,Rhodesian,780260926.0,Stub,
Prime Minister of Rhodesia,Rhodesian,782602484.0,Start,
Leo Cardwell Ross,Rhodesian,783150296.0,Start,
Josiah Gondo,Rhodesian,783150589.0,C,
Dunduzu Chisiza,Rhodesian,783301534.0,Start,
Allan Ross Welsh,Rhodesian,784562559.0,C,
John Moore Caldicott,Rhodesian,784757829.0,Start,
John Ralph Beaumont,Rhodesian,784758963.0,Start,
Leonard Ray Morgan,Rhodesian,784769027.0,Start,
Raleigh Grey,Rhodesian,784826325.0,Start,
Robert Clarkson Tredgold,Rhodesian,784830601.0,Start,
Robert James Hudson,Rhodesian,784831407.0,B,
William Harper (Rhodesian politician),Rhodesian,784870217.0,FA,
Rowan Cronjé,Rhodesian,784974615.0,GA,
Edgar Whitehead,Rhodesian,786601705.0,Start,
Henry Hamilton Beamish,Rhodesian,786659504.0,Start,
Lionel Cripps,Rhodesian,787105083.0,Start,
A. R. Colquhoun,Rhodesian,787147677.0,Start,
John McChlery,Rhodesian,787854502.0,Stub,
Jeremiah Chirau,Rhodesian,789545107.0,Stub,
Winston Field,Rhodesian,789689591.0,C,
Howard Unwin Moffat,Rhodesian,790010191.0,Start,
Ken Flower,Rhodesian,794528943.0,Start,
Andrew Skeen (Rhodesia),Rhodesian,795348776.0,Stub,
Hugh Beadle,Rhodesian,795369277.0,FA,
Hugh Marshall Hole,Rhodesian,795483112.0,Start,
Roy Welensky,Rhodesian,797314307.0,FA,
Abel Muzorewa,Rhodesian,797407618.0,C,
Signatories of Rhodesia's Unilateral Declaration of Independence,Rhodesian,797546082.0,Start,
Jack Howman,Rhodesian,798384751.0,Stub,
Ethel Tawse Jollie,Rhodesian,798492985.0,Start,
Alan David Butler,Rhodesian,799332728.0,Start,
Jack William Pithey,Rhodesian,799548505.0,Start,
President of Rhodesia,Rhodesian,799548556.0,C,
Denis Walker,Rhodesian,799608339.0,C,
James Cowden,Rhodesian,800407772.0,Stub,
Herbert Chitepo,Rhodesian,800416336.0,C,
Thomas Nangle,Rhodesian,800479460.0,Start,
Timothy Stamps,Rhodesian,800986051.0,C,
Sam Levy,Rhodesian,801716406.0,Start,
Humphrey Gibbs,Rhodesian,801718040.0,C,
P. K. van der Byl,Rhodesian,801795215.0,FA,
Clifford Dupont,Rhodesian,801876681.0,C,
Lance Smith (politician),Rhodesian,802151785.0,GA,
Desmond Lardner-Burke,Rhodesian,802930161.0,C,
John Bredenkamp,Rhodesian,803620246.0,C,
Frank Rhodes (British Army officer),Rhodesian,804040348.0,Start,
Ernest Lucas Guest,Rhodesian,804101492.0,FA,
Godfrey Chidyausiku,Rhodesian,804650400.0,Start,
Richard Hope Hall,Rhodesian,804743937.0,GA,
Crosaire,Rhodesian,804806363.0,C,
Gaston Thornicroft,Rhodesian,804877226.0,Start,
"James Graham, 7th Duke of Montrose",Rhodesian,805372073.0,C,
Ahrn Palley,Rhodesian,805960143.0,C,
Allan Savory,Rhodesian,806153816.0,GA,
Ian Smith,Rhodesian,806532780.0,FA,
Garfield Todd,Rhodesian,807097467.0,C,
Douglas Hamilton Ritchie,Rhodesian,807159903.0,C,
Godfrey Huggins,Rhodesian,807160082.0,C,
George Hackwill,Rhodesian,807283218.0,GA,
Henry Everard,Rhodesian,807425613.0,,
John Wrathall,Rhodesian,807425747.0,,
Ebenezer Kwadwo Teye Addo,Ghana,807326391.0,,29.5
Emmanuel Adama Mahama,Ghana,807363196.0,,29.5
Lordina Mahama,Ghana,807365336.0,,29.5
Theresa Kufuor,Ghana,807366049.0,,29.5
Kwame Nkrumah,Ghana,807430105.0,,29.5
Paul Makonda,Tanzania,807402108.0,,59.1
Hadji Mponda,Tanzania,807415211.0,,59.1
Juliana Shonza,Tanzania,807436610.0,,59.1
Haji Faki,Tanzania,807456554.0,,59.1
Haji Kai,Tanzania,807456648.0,,59.1
Haji Mussa,Tanzania,807456824.0,,59.1
Haji Sereweji,Tanzania,807456871.0,,59.1
Mavua Mudima,"Congo, Dem. Rep. of",592289232.0,Stub,
List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604.0,Stub,
Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",705390654.0,Stub,
Théophile Mbemba Fundu,"Congo, Dem. Rep. of",705707214.0,Stub,
Ntumba Luaba,"Congo, Dem. Rep. of",705723187.0,Start,
Myra Ndjoku Manianga,"Congo, Dem. Rep. of",705723441.0,Stub,
André-Philippe Futa,"Congo, Dem. Rep. of",708009445.0,Start,
Gérard Gifuza,"Congo, Dem. Rep. of",708358969.0,Stub,
Koloso Sumaili,"Congo, Dem. Rep. of",708359204.0,Stub,
Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",713195149.0,Stub,
Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",713198718.0,Stub,
Kisula Ngoy,"Congo, Dem. Rep. of",713583472.0,Stub,
Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",714150941.0,Stub,
Denis Kalume Numbi,"Congo, Dem. Rep. of",714220527.0,Start,
Delphin Kyubwa,"Congo, Dem. Rep. of",718961623.0,Stub,
Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",720858135.0,Start,
José Endundo Bononge,"Congo, Dem. Rep. of",721206007.0,Stub,
Richard Muyej Mangez,"Congo, Dem. Rep. of",723913158.0,Stub,
Sébastien Impeto Pengo,"Congo, Dem. Rep. of",725141090.0,Stub,
Clovis Kabongo Malemba,"Congo, Dem. Rep. of",733051797.0,Stub,
François Nicéphore Kakese,"Congo, Dem. Rep. of",737533634.0,Stub,
Raymond Ramazani Baya,"Congo, Dem. Rep. of",742707920.0,Stub,
Mulumba Lukoji,"Congo, Dem. Rep. of",743061455.0,Stub,
Alexandre Luba Ntambo,"Congo, Dem. Rep. of",749397818.0,Stub,
Oscar Kashala,"Congo, Dem. Rep. of",749419078.0,Start,
Jean-Marie Runiga Lugerero,"Congo, Dem. Rep. of",750725157.0,Stub,
Christian Malanga,"Congo, Dem. Rep. of",751152656.0,C,
Faustin Birindwa,"Congo, Dem. Rep. of",751361476.0,Stub,
Chikez Diemu,"Congo, Dem. Rep. of",753704394.0,Stub,
Minister of Foreign Affairs (Democratic Republic of the Congo),"Congo, Dem. Rep. of",754344309.0,Start,
Edouard Kiove Kola,"Congo, Dem. Rep. of",756510063.0,Stub,
Daniel Mukoko Samba,"Congo, Dem. Rep. of",757821887.0,Stub,
Dolly Makambo Nawezi,"Congo, Dem. Rep. of",763323939.0,Stub,
Germain Kambinga,"Congo, Dem. Rep. of",763943185.0,Stub,
Richard Ndambu Wolang,"Congo, Dem. Rep. of",764771546.0,Stub,
Simon Mbatshi Batshia,"Congo, Dem. Rep. of",764771615.0,C,
José Makila Sumanda,"Congo, Dem. Rep. of",764771652.0,Stub,
Trésor Kapuku Ngoy,"Congo, Dem. Rep. of",764771697.0,Stub,
Charles Mwando Simba,"Congo, Dem. Rep. of",764791046.0,Stub,
Jules Fontaine Sambwa,"Congo, Dem. Rep. of",765570258.0,Start,
Mabi Mulumba,"Congo, Dem. Rep. of",765799138.0,Stub,
N'Singa Udjuu,"Congo, Dem. Rep. of",765799213.0,Stub,
Sultani Makenga,"Congo, Dem. Rep. of",765834828.0,Start,
Josué Alex Mukendi,"Congo, Dem. Rep. of",765871730.0,Stub,
Raymond Tshibanda,"Congo, Dem. Rep. of",765923988.0,Start,
Banza Mukalay,"Congo, Dem. Rep. of",765924619.0,Start,
Évariste Boshab,"Congo, Dem. Rep. of",765925554.0,Stub,
Marie-Ange Mushobekwa,"Congo, Dem. Rep. of",766647953.0,Stub,
Jean Andeka,"Congo, Dem. Rep. of",768228272.0,Stub,
Aimé Ngoy Mukena,"Congo, Dem. Rep. of",768670214.0,C,
Aimé Boji,"Congo, Dem. Rep. of",772045942.0,Stub,
Léonard Mulamba,"Congo, Dem. Rep. of",772317052.0,Start,
Noel K Tshiani Muadiamvita,"Congo, Dem. Rep. of",772818039.0,C,
Kasongo Ilunga,"Congo, Dem. Rep. of",774263410.0,Start,
Pierre Lumbi Okongo,"Congo, Dem. Rep. of",774679596.0,Start,
Jeannette Kavira Mapera,"Congo, Dem. Rep. of",776372644.0,Stub,
Vice-Presidents of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",780035740.0,Stub,
Odilon Kafitwe wa pa Bowa,"Congo, Dem. Rep. of",780757242.0,Stub,
Louis Alphonse Koyagialo,"Congo, Dem. Rep. of",782350026.0,Start,
Luzolo Bambi Lessa,"Congo, Dem. Rep. of",782618365.0,Start,
Jonas Mukamba Kadiata Nzemba,"Congo, Dem. Rep. of",782825984.0,Start,
Arthur Z'ahidi Ngoma,"Congo, Dem. Rep. of",783354232.0,Stub,
Emile Mota,"Congo, Dem. Rep. of",784182810.0,Start,
Lambert Mende Omalanga,"Congo, Dem. Rep. of",786579616.0,Stub,
Justine Kasa-Vubu,"Congo, Dem. Rep. of",786751925.0,Start,
Cléophas Kamitatu,"Congo, Dem. Rep. of",786874201.0,C,
Jean Nguza Karl-i-Bond,"Congo, Dem. Rep. of",787378464.0,Start,
Adam Bombolé,"Congo, Dem. Rep. of",787602247.0,Stub,
Adolphe Lumanu,"Congo, Dem. Rep. of",787715913.0,Stub,
Adolphe Muzito cabinet,"Congo, Dem. Rep. of",787716080.0,B,
Justin Marie Bomboko,"Congo, Dem. Rep. of",787797355.0,Start,
Christian Atoki Ileka,"Congo, Dem. Rep. of",787978838.0,Stub,
Paul Joseph Mukungubila Mutombo,"Congo, Dem. Rep. of",788024194.0,C,
Ferdinand Essandja,"Congo, Dem. Rep. of",788054013.0,Stub,
Martin Kabwelulu,"Congo, Dem. Rep. of",788465848.0,Start,
Antipas Mbusa,"Congo, Dem. Rep. of",789437538.0,Start,
Laurent Mbariko,"Congo, Dem. Rep. of",789487250.0,Start,
Union of Congolese Patriots,"Congo, Dem. Rep. of",789898887.0,Start,
Azarias Ruberwa,"Congo, Dem. Rep. of",790305725.0,Start,
Banyingela Kasonga,"Congo, Dem. Rep. of",790586686.0,Start,
Anicet Kashamura,"Congo, Dem. Rep. of",790738130.0,Stub,
Sophie Kanza,"Congo, Dem. Rep. of",790942655.0,Start,
Bertrand Bisimwa,"Congo, Dem. Rep. of",791074307.0,Stub,
Charles Kisolokele,"Congo, Dem. Rep. of",792037043.0,Start,
Antoine Ghonda,"Congo, Dem. Rep. of",793411567.0,Start,
Abdoulaye Yerodia Ndombasi,"Congo, Dem. Rep. of",794072384.0,Start,
Paul Bolya,"Congo, Dem. Rep. of",794134715.0,Start,
Freddy Matungulu,"Congo, Dem. Rep. of",796099032.0,C,
Emmanuel Dungia,"Congo, Dem. Rep. of",797348410.0,C,
Munga Mibindo,"Congo, Dem. Rep. of",797435100.0,Stub,
Eric Lenge,"Congo, Dem. Rep. of",797446004.0,Start,
Guy-Patrice Lumumba,"Congo, Dem. Rep. of",798185563.0,Stub,
Joseph Kabila,"Congo, Dem. Rep. of",798455633.0,GA,
Kavidi Wivine N'Landu,"Congo, Dem. Rep. of",798489264.0,Stub,
Jeannot Bemba Saolona,"Congo, Dem. Rep. of",798859637.0,Stub,
Medard Mulangala,"Congo, Dem. Rep. of",798948484.0,C,
Mpinga Kasenda,"Congo, Dem. Rep. of",799044574.0,Stub,
Fernand Kazadi,"Congo, Dem. Rep. of",799328311.0,Start,
Antoine-Roger Bolamba,"Congo, Dem. Rep. of",799328685.0,Stub,
Odette Babandoa Etoa,"Congo, Dem. Rep. of",799331221.0,Start,
Monique Mukuna Mutombo,"Congo, Dem. Rep. of",799533831.0,Start,
Ekila Liyonda,"Congo, Dem. Rep. of",799913697.0,Start,
Augustin Matata Ponyo,"Congo, Dem. Rep. of",799930121.0,Start,
Nkulu Mitumba Kilombo,"Congo, Dem. Rep. of",800087105.0,Stub,
Laurent Nkunda,"Congo, Dem. Rep. of",800298783.0,C,
Christophe Gbenye,"Congo, Dem. Rep. of",800537411.0,Start,
Minister of Defence (Democratic Republic of the Congo),"Congo, Dem. Rep. of",801107444.0,Start,
Moïse Tshombe,"Congo, Dem. Rep. of",801110165.0,C,
Godefroid Munongo,"Congo, Dem. Rep. of",801112469.0,Start,
Thomas Kanza,"Congo, Dem. Rep. of",801348128.0,GA,
Joseph Okito,"Congo, Dem. Rep. of",801770255.0,Start,
President of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",801936063.0,C,
Alexis Thambwe Mwamba,"Congo, Dem. Rep. of",801968131.0,Start,
Alphonse Songolo,"Congo, Dem. Rep. of",802154801.0,C,
List of heads of state of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",802197658.0,Start,
Jules Mutebusi,"Congo, Dem. Rep. of",802411491.0,Start,
Pierre Mulele,"Congo, Dem. Rep. of",803335436.0,C,
Kasongo Munganga,"Congo, Dem. Rep. of",803421580.0,C,
Joseph Kasa-Vubu,"Congo, Dem. Rep. of",804197745.0,GA,
Frédéric Kibassa Maliba,"Congo, Dem. Rep. of",804359582.0,C,
Tabu Ley Rochereau,"Congo, Dem. Rep. of",804587534.0,GA,
Leonard Mashako Mamba,"Congo, Dem. Rep. of",804709167.0,Stub,
Franck Mwe di Malila,"Congo, Dem. Rep. of",804943836.0,C,
Mobutu Sese Seko,"Congo, Dem. Rep. of",805038023.0,B,
Maurice Mpolo,"Congo, Dem. Rep. of",805086693.0,GA,
Georges Minsay Booka,"Congo, Dem. Rep. of",805279692.0,Start,
Germain Katanga,"Congo, Dem. Rep. of",805368981.0,B,
Daniel Kanza,"Congo, Dem. Rep. of",805523382.0,C,
Gilbert Pongo,"Congo, Dem. Rep. of",805835265.0,C,
Laurent-Désiré Kabila,"Congo, Dem. Rep. of",805923394.0,C,
Prospère Mushobekwa,"Congo, Dem. Rep. of",806071312.0,Stub,
Eugène Serufuli Ngayabaseka,"Congo, Dem. Rep. of",806189185.0,Start,
Julien Paluku Kahongya,"Congo, Dem. Rep. of",806189633.0,B,
List of mayors of Goma,"Congo, Dem. Rep. of",806372703.0,Stub,
Victor Nendaka Bika,"Congo, Dem. Rep. of",806383479.0,Start,
Antoine Gizenga cabinet,"Congo, Dem. Rep. of",806524828.0,Start,
André Lubaya,"Congo, Dem. Rep. of",806545614.0,Start,
Jean-Chrysostome Werengemere,"Congo, Dem. Rep. of",806947596.0,C,
Jean-Pierre Bemba,"Congo, Dem. Rep. of",807193274.0,GA,
Jason Sendwe,"Congo, Dem. Rep. of",807243537.0,GA,
Gérard Kamanda wa Kamanda,"Congo, Dem. Rep. of",807258156.0,Stub,
Patrice Lumumba,"Congo, Dem. Rep. of",807273861.0,FA,
Ahmed bin Saeed Al Maktoum,United Arab Emirates,807375652.0,,9.5
Li Keqiang,China,807296432.0,,"1,393.8"
Hu Jintao,China,807302387.0,,"1,393.8"
Zhu Rongji,China,807305010.0,,"1,393.8"
Wen Jiabao,China,807305356.0,,"1,393.8"
Fu Hao,China,807309752.0,,"1,393.8"
Yao Zhongmin,China,807310805.0,,"1,393.8"
Dong Yun,China,807317476.0,,"1,393.8"
Jiang Zemin,China,807323321.0,,"1,393.8"
Sun Chunlan,China,807325309.0,,"1,393.8"
Li Xiaolin (b. 1953),China,807344718.0,,"1,393.8"
Donald Tsang,China,807373101.0,,"1,393.8"
General Secretary of the Communist Party of China,China,807388210.0,,"1,393.8"
Han Yanhui,China,807441584.0,,"1,393.8"
Wu Zetian,China,807455323.0,,"1,393.8"
Xi Jinping,China,807462009.0,,"1,393.8"
Yang Jiechi,China,807481066.0,,"1,393.8"
Li Jiancheng,China,807481329.0,,"1,393.8"
Alfred Mutua,Kenya,807398594.0,,51
Alice Muthoni Wahome,Kenya,807476386.0,,51
Marko Veselica,Croatia,807408210.0,,4.1
Josip Broz Tito,Croatia,807415247.0,,4.1
Shōgun,Japan,807291575.0,,126.5
Tomio Okamura,Japan,807325647.0,,126.5
Shinzō Abe,Japan,807422779.0,,126.5
Banri Kaieda,Japan,807441818.0,,126.5
Lavrentiy Beria,Russia,807293910.0,,147.3
Yevgeny Savchenko,Russia,807310583.0,,147.3
Vladimir Lenin,Russia,807340102.0,,147.3
Joseph Stalin,Russia,807340998.0,,147.3
Marat Safin,Russia,807343155.0,,147.3
Natalya Narochnitskaya,Russia,807343220.0,,147.3
Saparmurat Niyazov,Russia,807345693.0,,147.3
Sergey Kirov,Russia,807355042.0,,147.3
Catherine the Great,Russia,807355465.0,,147.3
Benyamin Kayurov,Russia,807367892.0,,147.3
Vladimir Dzhanibekov,Russia,807373913.0,,147.3
Yulia Shoygu,Russia,807375276.0,,147.3
Boris Bugayev,Russia,807380909.0,,147.3
Alexander Kerensky,Russia,807415221.0,,147.3
Mikhail Prokhorov,Russia,807444705.0,,147.3
Mark Feygin,Russia,807475576.0,,147.3
Pansy Tlakula,South Africa,807393156.0,,57.7
Merja Kyllönen,Finland,807407055.0,,5.5
Ulf Sundqvist,Finland,807442052.0,,5.5
Arja Alho,Finland,807442122.0,,5.5
Pertti Paasio,Finland,807442162.0,,5.5
Esko Kiviranta,Finland,807443136.0,,5.5
